22pF,2,"C2 C3"
4.7nF,3,"C26 C29 C34"
33nF,2,"C10 C14"
100nF,10,"C9 C21 C24 C27 C30 C32 C35 C39 C43 C44"
100nF,15,"C18 C37 C38 C40 C41 C42 C46 C47 C48 C49 C50 C51 C52 C53 C58"
1uF,10,"C6 C7 C11 C13 C15 C22 C25 C31 C33 C36"
1uF,5,"C4 C12 C23 C45 C54"
22uF,2,"C5 C57"
22uF,10,"C1 C8 C16 C17 C19 C20 C28 C55 C56 C59"
USB-MICRO-B,1,"CON1"
SCH,4,"D1 D2 D3 D5"
SCH,15,"D4 D6 D7 D8 D9 D10 D11 D12 D13 D14 D15 D16 D17 D18 D19"
FUSE,2,"F1 F2"
33uH,1,"L1"
LCD_320x240,1,"LCD1"
ESP03,1,"M1"
CONN_5X2,1,"P1"
CONN_10X2,1,"P2"
CONN_5,1,"P3"
CONN_1,18,"P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P141"
N,5,"Qb1 Qb2 Qb3 Qb4 Qb5"
P,3,"Qb6 Qb7 Qb8"
12,16,"R64 R65 R66 R67 R68 R69 R70 R71 R72 R73 R74 R75 R76 R77 R78 R79"
100,7,"R19 R23 R24 R47 R48 R50 R51"
1K,2,"R43 R44"
1K,16,"R7 R12 R15 R18 R20 R21 R22 R29 R31 R33 R35 R37 R39 R41 R49 R87"
1k,1,"R27"
10k,7,"R1 R2 R3 R4 R5 R16 R17"
10K,3,"R38 R40 R42"
10K,25,"R6 R8 R9 R10 R11 R13 R14 R25 R26 R28 R30 R32 R34 R36 R45 R46 R52 R53 R80 R81 R82 R83 R84 R85 R86"
470K,3,"R61 R62 R63"
470K,7,"R54 R55 R56 R57 R58 R59 R60"
FAN5622,1,"U1"
S25FL127,1,"U4"
LMP8481,4,"U5 U6 U7 U11"
ISL94203,1,"U8"
LM5050,2,"U9 U10"
STM32F373-48,1,"U2"
AOZ1282,1,"U3"
32768,1,"X1"
